year,data_type,source_index,destination_index,value
20182019,depot_location,1988,,
20182019,depot_location,463,,
20182019,depot_location,759,,
20182019,depot_location,2249,,
20182019,depot_location,1868,,
20182019,depot_location,1474,,
20182019,depot_location,2404,,
20182019,depot_location,1484,,
20182019,depot_location,2378,,
20182019,depot_location,1036,,
20182019,depot_location,2348,,
20182019,depot_location,1954,,
20182019,depot_location,1802,,
20182019,depot_location,1778,,
20182019,depot_location,642,,
20182019,depot_location,2135,,
20182019,depot_location,1199,,
20182019,depot_location,1135,,
20182019,depot_location,2394,,
20182019,depot_location,1543,,
20182019,depot_location,996,,
20182019,depot_location,1998,,
20182019,depot_location,1672,,
20182019,depot_location,430,,
20182019,depot_location,621,,
20182019,refinery_location,307,,
20182019,refinery_location,258,,
20182019,refinery_location,2258,,
20182019,refinery_location,1287,,
20182019,refinery_location,784,,
2018,biomass_forecast,0,,0.0886269231985231
2018,biomass_forecast,1,,0.1060520200336656
2018,biomass_forecast,2,,0.3248583619549927
2018,biomass_forecast,3,,12.442184880460893
2018,biomass_forecast,4,,4.170638392460829
2018,biomass_forecast,5,,1.5330614005963086
2018,biomass_forecast,6,,0.3708390157868694
2018,biomass_forecast,7,,0.1179361799528691
2018,biomass_forecast,8,,0.9306707466423888
2018,biomass_forecast,9,,4.299859144288923
2018,biomass_forecast,10,,38.24590153407028
2018,biomass_forecast,11,,63.37039302692482
2018,biomass_forecast,12,,6.952278774735976
2018,biomass_forecast,13,,1.4350569397633284
2018,biomass_forecast,14,,0.1101960248216515
2018,biomass_forecast,15,,0.8695904153656759
2018,biomass_forecast,16,,2.991605718619292
2018,biomass_forecast,17,,62.05760387241834
2018,biomass_forecast,18,,73.70296817568232
2018,biomass_forecast,19,,7.70446022581786
2018,biomass_forecast,20,,2.417987583423232
2018,biomass_forecast,21,,0.8844689174115025
2018,biomass_forecast,22,,19.939795408420512
2018,biomass_forecast,23,,41.7339304627436
2018,biomass_forecast,24,,36.80573368913239
2018,biomass_forecast,25,,39.71875872961285
2018,biomass_forecast,26,,1.299669793632671
2018,biomass_forecast,27,,0.0429012737217887
2018,biomass_forecast,28,,0.2493735191830992
2018,biomass_forecast,29,,0.4749432716345239
2018,biomass_forecast,30,,0.6990334421931867
2018,biomass_forecast,31,,5.621330480784887
2018,biomass_forecast,32,,23.591690397481333
